Country,Indicator,Scenario,Type,ProgressRate,Scenario_type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Year_filter
Indonesia,"Sanitation Services, Access, percent of population",doubling,Sanitation,0.66,ALB,83.61,91.25,84.77,92.02,85.99,91.71,86.98,93.1,87.78,93.51,90.2,
Indonesia,"Sanitation Services, Access, percent of population",doubling,Sanitation,0.59,SM,85.19,86.79,88.51,88.94,89.36,89.73,90.01,90.29,90.55,90.82,91.07,
Indonesia,"Sanitation Services, Access, percent of population",halving,Sanitation,0.39,ALB,83.37,83.48,84.12,84.47,84.88,85.24,85.59,86.05,86.48,86.9,87.31,
Indonesia,"Sanitation Services, Access, percent of population",halving,Sanitation,-0.03,SM,82.68,81.97,81.76,81.22,80.6,79.78,80.25,80.81,81.32,81.85,82.34,
Indonesia,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,0.76,ALB,84.85,86.13,87.7,88.95,90.07,91.04,91.37,91.64,91.89,92.16,92.4,
Indonesia,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,0.35,SM,87.59,88.09,88.58,88.94,89.36,89.73,90.01,90.29,90.55,90.82,91.07,
Indonesia,"Sanitation Services, Access, percent of population",six-fold,Sanitation,0.78,ALB,85.57,87.27,89.07,90.46,91.38,92.15,92.45,92.71,92.95,93.17,93.38,
Indonesia,"Sanitation Services, Access, percent of population",six-fold,Sanitation,0.31,SM,87.93,88.09,88.58,88.94,89.36,89.73,90.01,90.29,90.55,90.82,91.07,
Indonesia,"Water Services, Access, percent of population",Base,Water,0.33,Base,91.55,91.8,92.29,92.68,93.1,93.47,93.76,94.03,94.29,94.56,94.81,
Indonesia,"Water Services, Access, percent of population",Full water access in 2030,Water,0.74,ALB,92.41,93.21,93.92,94.68,95.46,96.19,96.93,97.65,98.36,99.09,99.8,2030
Indonesia,"Water Services, Access, percent of population",Full water access in 2030,Water,0.75,SM,92.52,93.4,94.26,95.1,95.92,96.65,97.38,98.04,98.69,99.36,99.98,2030
Indonesia,"Water Services, Access, percent of population",Full water access in 2050,Water,0.33,ALB,91.91,92.29,92.63,93.0,93.37,93.71,94.03,94.34,94.64,94.96,95.26,2050
Indonesia,"Water Services, Access, percent of population",Full water access in 2050,Water,0.37,SM,92.04,92.44,92.8,93.19,93.61,93.99,94.38,94.72,95.04,95.39,95.71,2050
Indonesia,"Water Services, Access, percent of population",doubling,Water,0.39,ALB,92.02,92.68,93.49,94.08,94.62,95.07,95.18,95.38,95.55,95.75,95.93,
Indonesia,"Water Services, Access, percent of population",doubling,Water,0.4,SM,92.21,92.93,93.7,94.33,94.92,95.33,95.52,95.68,95.85,96.03,96.18,
Indonesia,"Water Services, Access, percent of population",halving,Water,0.27,ALB,91.29,91.31,91.71,91.87,92.14,92.35,92.64,93.01,93.33,93.68,93.98,
Indonesia,"Water Services, Access, percent of population",halving,Water,0.14,SM,91.17,91.06,91.2,91.17,91.15,91.02,91.23,91.59,91.92,92.25,92.56,
Indonesia,"Water Services, Access, percent of population",quadrupling,Water,0.39,ALB,92.82,93.94,94.94,95.42,95.75,96.06,96.07,96.25,96.4,96.58,96.74,
Indonesia,"Water Services, Access, percent of population",quadrupling,Water,0.31,SM,93.06,94.14,94.67,94.89,95.14,95.35,95.52,95.68,95.85,96.03,96.18,
Indonesia,"Water Services, Access, percent of population",six-fold,Water,0.34,ALB,93.46,94.68,95.19,95.54,95.88,96.18,96.22,96.37,96.53,96.7,96.85,
Indonesia,"Water Services, Access, percent of population",six-fold,Water,0.25,SM,93.67,94.45,94.69,94.89,95.14,95.35,95.52,95.68,95.85,96.03,96.18,
Kenya,"Sanitation Services, Access, percent of population",Base,Sanitation,1.32,Base,33.07,33.39,35.41,36.95,38.27,39.56,40.85,42.15,43.46,44.82,46.22,
Kenya,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,6.13,ALB,38.75,44.89,51.02,57.16,63.29,69.42,75.54,81.66,87.78,93.89,100.0,2030
Kenya,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,6.12,SM,38.85,44.53,51.5,58.07,64.37,70.55,76.68,82.7,88.6,94.37,100.0,2030
Kenya,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.18,ALB,34.8,36.99,39.17,41.37,43.55,45.74,47.92,50.1,52.28,54.46,56.64,2050
Kenya,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.57,SM,34.91,36.58,39.76,42.61,45.21,47.77,50.37,52.94,55.5,58.07,60.65,2050
Kenya,"Sanitation Services, Access, percent of population",doubling,Sanitation,1.81,ALB,33.07,65.74,35.42,67.28,38.27,52.71,43.12,69.63,43.37,70.8,51.17,
Kenya,"Sanitation Services, Access, percent of population",doubling,Sanitation,2.43,SM,35.92,39.06,43.57,47.37,50.77,53.95,55.19,56.45,57.7,58.96,60.24,
Kenya,"Sanitation Services, Access, percent of population",halving,Sanitation,1.03,ALB,32.73,32.78,34.36,35.41,36.23,36.97,38.14,39.33,40.54,41.78,43.06,
Kenya,"Sanitation Services, Access, percent of population",halving,Sanitation,0.31,SM,31.51,30.11,30.36,29.98,29.21,28.25,29.47,30.66,31.9,33.2,34.6,
Kenya,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,2.38,ALB,34.88,36.53,40.61,44.12,47.22,50.23,51.93,53.56,55.21,56.91,58.68,
Kenya,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,2.64,SM,40.99,47.9,54.88,60.37,62.59,64.04,64.71,65.36,66.02,66.7,67.44,
Kenya,"Sanitation Services, Access, percent of population",six-fold,Sanitation,2.67,ALB,36.0,38.28,43.32,47.64,51.36,54.4,56.12,57.73,59.35,61.0,62.7,
Kenya,"Sanitation Services, Access, percent of population",six-fold,Sanitation,2.21,SM,45.3,54.47,60.75,63.3,63.8,64.25,64.76,65.36,66.02,66.71,67.45,
Kenya,"Water Services, Access, percent of population",Base,Water,0.8,Base,61.05,61.11,62.31,63.42,64.21,65.01,65.82,66.58,67.36,68.18,69.02,
Kenya,"Water Services, Access, percent of population",Full water access in 2030,Water,3.54,ALB,64.45,68.17,71.55,75.41,78.97,82.56,86.1,89.56,93.01,96.46,99.88,2030
Kenya,"Water Services, Access, percent of population",Full water access in 2030,Water,3.52,SM,64.8,68.25,72.24,76.26,79.93,83.49,86.99,90.38,93.68,96.89,100.0,2030
Kenya,"Water Services, Access, percent of population",Full water access in 2050,Water,1.35,ALB,62.09,63.62,64.8,66.29,67.63,69.0,70.36,71.67,72.98,74.29,75.6,2050
Kenya,"Water Services, Access, percent of population",Full water access in 2050,Water,1.56,SM,62.5,63.71,65.52,67.46,69.06,70.66,72.25,73.74,75.22,76.69,78.13,2050
Kenya,"Water Services, Access, percent of population",doubling,Water,1.34,ALB,63.02,64.74,67.42,69.77,71.66,73.41,74.01,74.59,75.18,75.81,76.46,
Kenya,"Water Services, Access, percent of population",doubling,Water,1.31,SM,62.65,63.95,66.39,68.73,70.34,71.92,72.64,73.38,74.12,74.9,75.71,
Kenya,"Water Services, Access, percent of population",halving,Water,0.31,ALB,60.08,59.06,59.2,59.27,58.92,58.57,59.44,60.34,61.27,62.22,63.22,
Kenya,"Water Services, Access, percent of population",halving,Water,0.3,SM,60.3,59.53,59.93,60.0,59.78,59.48,60.23,60.95,61.7,62.48,63.3,
Kenya,"Water Services, Access, percent of population",quadrupling,Water,1.51,ALB,66.38,70.25,74.39,77.55,78.79,79.22,79.68,80.09,80.51,80.96,81.45,
Kenya,"Water Services, Access, percent of population",quadrupling,Water,1.64,SM,65.22,68.13,71.64,74.6,76.95,78.98,79.58,80.23,80.83,81.22,81.64,
Kenya,"Water Services, Access, percent of population",six-fold,Water,1.23,ALB,69.13,74.27,77.83,78.31,78.75,79.22,79.68,80.08,80.51,80.96,81.45,
Kenya,"Water Services, Access, percent of population",six-fold,Water,1.43,SM,67.33,71.1,75.27,78.49,79.32,79.68,80.08,80.44,80.82,81.22,81.64,
Liberia,"Sanitation Services, Access, percent of population",Base,Sanitation,-0.24,Base,18.53,17.03,18.0,18.49,18.47,18.16,17.91,16.14,15.41,15.52,16.16,
Liberia,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,7.45,ALB,25.51,33.0,40.48,47.95,55.4,62.85,70.3,77.73,85.16,92.58,100.0,2030
Liberia,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,7.43,SM,25.66,31.55,39.49,47.09,54.4,61.63,69.1,76.36,84.11,92.04,100.0,2030
Liberia,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.67,ALB,20.7,23.39,26.07,28.75,31.43,34.1,36.77,39.44,42.11,44.8,47.41,2050
Liberia,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.28,SM,20.86,21.73,24.85,27.6,29.9,31.95,34.25,35.78,38.0,40.67,43.62,2050
Liberia,"Sanitation Services, Access, percent of population",doubling,Sanitation,0.28,ALB,18.53,56.56,18.02,57.25,18.54,34.97,19.25,56.7,17.03,34.52,21.37,
Liberia,"Sanitation Services, Access, percent of population",doubling,Sanitation,0.44,SM,19.54,18.87,20.91,22.5,23.65,24.48,24.62,23.08,22.5,22.9,23.89,
Liberia,"Sanitation Services, Access, percent of population",halving,Sanitation,-0.39,ALB,17.84,15.8,16.08,15.89,15.33,14.7,14.69,13.61,13.15,13.35,13.98,
Liberia,"Sanitation Services, Access, percent of population",halving,Sanitation,-0.66,SM,18.14,16.08,16.47,16.32,15.58,14.46,14.03,12.08,11.22,11.14,11.55,
Liberia,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,0.3,ALB,22.66,23.42,27.22,30.07,31.55,31.94,30.97,26.66,25.09,24.9,25.62,
Liberia,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,1.42,SM,21.19,22.22,25.99,29.23,32.0,34.39,35.04,33.75,33.39,34.01,35.36,
Liberia,"Sanitation Services, Access, percent of population",six-fold,Sanitation,0.47,ALB,25.01,26.85,31.78,35.37,37.21,37.65,36.36,31.03,29.3,29.01,29.73,
Liberia,"Sanitation Services, Access, percent of population",six-fold,Sanitation,2.08,SM,22.76,25.23,30.34,34.71,38.49,41.74,42.64,41.51,41.3,42.09,43.6,
Liberia,"Water Services, Access, percent of population",Base,Water,-0.2,Base,75.1,74.44,74.99,75.23,75.18,74.88,74.69,73.53,72.87,72.78,73.08,
Liberia,"Water Services, Access, percent of population",Full water access in 2030,Water,2.27,ALB,77.29,79.71,82.0,84.28,86.55,88.81,91.06,93.31,95.54,97.78,100.0,2030
Liberia,"Water Services, Access, percent of population",Full water access in 2030,Water,2.23,SM,77.69,79.38,81.95,84.33,86.54,88.68,90.9,92.96,95.24,97.62,100.0,2030
Liberia,"Water Services, Access, percent of population",Full water access in 2050,Water,0.86,ALB,75.63,76.81,77.65,78.48,79.32,80.14,80.98,81.8,82.6,83.42,84.23,2050
Liberia,"Water Services, Access, percent of population",Full water access in 2050,Water,0.7,SM,76.26,76.42,77.58,78.56,79.31,79.91,80.63,80.87,81.39,82.22,83.25,2050
Liberia,"Water Services, Access, percent of population",doubling,Water,0.39,ALB,76.86,77.57,79.29,80.61,81.54,82.2,82.04,81.12,80.6,80.54,80.76,
Liberia,"Water Services, Access, percent of population",doubling,Water,0.2,SM,76.59,76.65,78.07,79.12,79.79,80.16,80.02,78.97,78.38,78.31,78.63,
Liberia,"Water Services, Access, percent of population",halving,Water,-0.81,ALB,74.58,72.61,72.14,71.31,70.02,68.34,68.2,66.89,66.15,66.09,66.49,
Liberia,"Water Services, Access, percent of population",halving,Water,-0.58,SM,74.55,73.19,73.07,72.6,71.76,70.62,70.43,69.22,68.53,68.42,68.74,
Liberia,"Water Services, Access, percent of population",quadrupling,Water,0.34,ALB,79.69,81.93,84.09,84.41,84.37,84.2,84.08,83.4,83.02,82.98,83.12,
Liberia,"Water Services, Access, percent of population",quadrupling,Water,0.41,SM,78.53,79.92,81.65,82.8,83.54,84.0,83.82,82.9,82.4,82.34,82.61,
Liberia,"Water Services, Access, percent of population",six-fold,Water,0.13,ALB,81.78,83.94,84.25,84.41,84.37,84.2,84.08,83.4,83.02,82.98,83.12,
Liberia,"Water Services, Access, percent of population",six-fold,Water,0.43,SM,80.13,81.6,83.53,84.84,85.48,85.33,85.22,84.64,84.31,84.29,84.48,
Madagascar,"Sanitation Services, Access, percent of population",Base,Sanitation,0.43,Base,12.07,11.74,12.51,13.1,13.54,14.04,14.54,14.96,15.37,15.87,16.4,
Madagascar,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,8.01,ALB,19.92,27.99,36.04,44.08,52.11,60.12,68.12,76.11,84.09,92.05,100.0,2030
Madagascar,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,8.01,SM,19.95,27.78,35.94,44.05,52.12,60.17,68.18,76.16,84.13,92.08,100.0,2030
Madagascar,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.88,ALB,14.76,17.7,20.59,23.47,26.36,29.25,32.13,35.01,37.88,40.75,43.61,2050
Madagascar,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.9,SM,14.79,17.44,20.44,23.42,26.38,29.33,32.27,35.16,38.05,40.94,43.83,2050
Madagascar,"Sanitation Services, Access, percent of population",doubling,Sanitation,0.58,ALB,12.07,55.34,12.17,56.01,13.38,20.23,14.87,56.98,15.24,57.36,17.87,
Madagascar,"Sanitation Services, Access, percent of population",doubling,Sanitation,1.28,SM,13.52,14.38,16.58,18.66,20.74,22.89,23.63,24.26,24.86,25.54,26.3,
Madagascar,"Sanitation Services, Access, percent of population",halving,Sanitation,0.35,ALB,11.94,11.51,12.14,12.57,12.86,13.19,13.67,14.07,14.48,14.96,15.48,
Madagascar,"Sanitation Services, Access, percent of population",halving,Sanitation,-0.1,SM,11.33,10.3,10.28,9.94,9.38,8.78,9.09,9.34,9.6,9.94,10.31,
Madagascar,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,0.84,ALB,12.85,13.05,14.58,15.95,17.19,18.5,19.14,19.63,20.09,20.64,21.26,
Madagascar,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,2.4,SM,16.25,19.12,23.74,28.01,32.09,35.95,36.91,37.75,38.54,39.36,40.28,
Madagascar,"Sanitation Services, Access, percent of population",six-fold,Sanitation,1.06,ALB,13.34,13.88,15.84,17.64,19.31,21.02,21.73,22.24,22.73,23.31,23.98,
Madagascar,"Sanitation Services, Access, percent of population",six-fold,Sanitation,3.03,SM,18.81,23.5,29.8,35.4,40.49,45.1,46.14,47.04,47.73,48.38,49.1,
Madagascar,"Water Services, Access, percent of population",Base,Water,0.39,Base,52.46,51.63,52.44,53.1,53.62,54.17,54.69,55.09,55.47,55.91,56.41,
Madagascar,"Water Services, Access, percent of population",Full water access in 2030,Water,4.32,ALB,56.81,61.38,65.89,70.35,74.75,79.09,83.39,87.62,91.8,95.93,100.0,2030
Madagascar,"Water Services, Access, percent of population",Full water access in 2030,Water,4.31,SM,56.88,60.52,65.41,70.11,74.67,79.13,83.47,87.71,91.87,95.97,100.0,2030
Madagascar,"Water Services, Access, percent of population",Full water access in 2050,Water,1.73,ALB,54.02,55.92,57.74,59.49,61.18,62.92,64.64,66.34,68.01,69.66,71.3,2050
Madagascar,"Water Services, Access, percent of population",Full water access in 2050,Water,1.76,SM,54.1,54.86,57.04,59.09,61.06,62.96,64.81,66.55,68.26,69.95,71.65,2050
Madagascar,"Water Services, Access, percent of population",doubling,Water,1.19,ALB,54.72,55.81,58.44,60.77,62.8,64.71,65.17,65.5,65.83,66.2,66.63,
Madagascar,"Water Services, Access, percent of population",doubling,Water,0.83,SM,53.56,53.5,55.25,56.82,58.26,59.64,60.17,60.58,60.97,61.38,61.86,
Madagascar,"Water Services, Access, percent of population",halving,Water,-0.3,ALB,51.32,49.15,48.6,47.83,46.97,46.02,46.56,46.98,47.38,47.83,48.35,
Madagascar,"Water Services, Access, percent of population",halving,Water,0.06,SM,51.96,50.5,50.74,50.8,50.69,50.54,51.03,51.38,51.73,52.13,52.61,
Madagascar,"Water Services, Access, percent of population",quadrupling,Water,1.57,ALB,58.54,62.24,66.52,69.49,71.94,73.07,73.34,73.55,73.74,73.96,74.22,
Madagascar,"Water Services, Access, percent of population",quadrupling,Water,1.21,SM,55.46,56.96,59.94,62.19,63.97,65.61,66.07,66.44,66.78,67.13,67.54,
Madagascar,"Water Services, Access, percent of population",six-fold,Water,1.25,ALB,61.76,66.61,70.95,72.5,72.78,73.08,73.35,73.54,73.74,73.96,74.22,
Madagascar,"Water Services, Access, percent of population",six-fold,Water,1.39,SM,57.17,59.79,62.8,65.32,67.42,69.33,69.75,70.06,70.35,70.67,71.03,
Malawi,"Sanitation Services, Access, percent of population",Base,Sanitation,-0.12,Base,26.45,26.06,26.33,25.77,25.2,24.76,24.59,24.69,24.89,25.08,25.22,
Malawi,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,6.7,ALB,32.98,39.7,46.42,53.13,59.84,66.54,73.24,79.94,86.62,93.32,100.0,2030
Malawi,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,6.7,SM,32.97,39.59,46.32,52.96,59.58,66.27,72.98,79.73,86.49,93.24,100.0,2030
Malawi,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.4,ALB,28.66,31.05,33.46,35.85,38.25,40.64,43.03,45.53,48.02,50.39,52.67,2050
Malawi,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.35,SM,28.65,30.93,33.33,35.61,37.86,40.15,42.48,44.94,47.44,49.84,52.15,2050
Malawi,"Sanitation Services, Access, percent of population",doubling,Sanitation,-0.06,ALB,26.45,62.59,26.1,62.5,25.19,30.72,25.51,61.81,24.29,61.93,25.88,
Malawi,"Sanitation Services, Access, percent of population",doubling,Sanitation,1.01,SM,29.1,31.41,33.97,35.84,37.3,38.74,38.47,38.52,38.74,39.01,39.22,
Malawi,"Sanitation Services, Access, percent of population",halving,Sanitation,-0.17,ALB,26.31,25.79,25.94,25.25,24.61,24.09,23.96,24.08,24.28,24.48,24.6,
Malawi,"Sanitation Services, Access, percent of population",halving,Sanitation,-0.95,SM,24.94,23.04,21.71,19.41,17.19,15.07,14.98,15.12,15.28,15.43,15.48,
Malawi,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,0.14,ALB,27.14,27.54,28.51,28.51,28.38,28.31,27.97,27.98,28.14,28.37,28.54,
Malawi,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,2.16,SM,34.14,40.17,45.55,49.53,52.62,55.21,54.93,54.98,55.2,55.49,55.72,
Malawi,"Sanitation Services, Access, percent of population",six-fold,Sanitation,0.29,ALB,27.61,28.45,29.82,30.15,30.23,30.36,29.94,29.89,30.03,30.27,30.46,
Malawi,"Sanitation Services, Access, percent of population",six-fold,Sanitation,1.92,SM,38.52,46.94,53.67,57.86,57.68,57.5,57.46,57.57,57.68,57.76,57.77,
Malawi,"Water Services, Access, percent of population",Base,Water,-0.22,Base,69.12,68.95,69.14,68.49,67.62,66.93,66.48,66.32,66.42,66.66,66.89,
Malawi,"Water Services, Access, percent of population",Full water access in 2030,Water,2.81,ALB,71.87,74.91,77.78,80.55,83.35,86.16,88.95,91.76,94.54,97.28,100.0,2030
Malawi,"Water Services, Access, percent of population",Full water access in 2030,Water,2.79,SM,72.12,74.58,77.48,79.98,82.41,85.06,87.88,90.85,93.91,96.98,100.0,2030
Malawi,"Water Services, Access, percent of population",Full water access in 2050,Water,1.06,ALB,70.02,71.32,72.42,73.38,74.41,75.44,76.49,77.59,78.65,79.66,80.63,2050
Malawi,"Water Services, Access, percent of population",Full water access in 2050,Water,0.85,SM,70.27,70.93,72.08,72.61,72.97,73.5,74.2,75.2,76.35,77.56,78.74,2050
Malawi,"Water Services, Access, percent of population",doubling,Water,0.54,ALB,71.33,73.0,74.81,75.71,76.26,76.88,76.48,76.3,76.34,76.51,76.69,
Malawi,"Water Services, Access, percent of population",doubling,Water,0.24,SM,70.46,71.03,72.14,72.47,72.53,72.72,72.34,72.24,72.35,72.59,72.83,
Malawi,"Water Services, Access, percent of population",halving,Water,-1.0,ALB,68.03,66.42,65.21,63.02,60.41,57.84,57.41,57.31,57.47,57.76,58.02,
Malawi,"Water Services, Access, percent of population",halving,Water,-0.6,SM,68.59,67.78,67.34,65.99,64.33,62.82,62.32,62.1,62.15,62.38,62.59,
Malawi,"Water Services, Access, percent of population",quadrupling,Water,0.39,ALB,75.04,78.56,80.01,79.74,79.28,78.93,78.7,78.63,78.69,78.83,78.96,
Malawi,"Water Services, Access, percent of population",quadrupling,Water,0.67,SM,72.38,74.43,76.37,77.48,78.2,78.93,78.6,78.52,78.64,78.84,79.04,
Malawi,"Water Services, Access, percent of population",six-fold,Water,0.12,ALB,77.78,79.93,80.1,79.75,79.28,78.93,78.7,78.63,78.69,78.83,78.95,
Malawi,"Water Services, Access, percent of population",six-fold,Water,0.73,SM,74.05,76.79,79.26,80.77,81.77,81.39,81.13,81.06,81.13,81.27,81.38,
Mali,"Sanitation Services, Access, percent of population",Base,Sanitation,0.88,Base,43.99,43.44,44.9,46.06,47.36,48.47,49.52,50.27,50.94,51.77,52.78,
Mali,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,5.12,ALB,48.83,54.06,59.35,64.56,69.78,74.95,80.04,85.09,90.13,95.14,100.0,2030
Mali,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,5.1,SM,49.04,53.38,59.13,64.77,70.33,75.67,80.84,85.76,90.62,95.4,100.0,2030
Mali,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,1.97,ALB,45.52,47.48,49.73,51.75,53.8,55.75,57.68,59.59,61.48,63.37,65.24,2050
Mali,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.23,SM,45.75,46.7,49.49,52.1,54.82,57.38,59.77,61.84,63.84,65.9,68.06,2050
Mali,"Sanitation Services, Access, percent of population",doubling,Sanitation,1.71,ALB,43.99,68.18,44.49,69.1,46.71,64.33,48.81,71.05,50.02,71.87,61.12,
Mali,"Sanitation Services, Access, percent of population",doubling,Sanitation,1.58,SM,45.87,47.15,50.02,52.62,55.22,57.62,58.55,59.28,59.96,60.75,61.68,
Mali,"Sanitation Services, Access, percent of population",halving,Sanitation,0.22,ALB,42.98,41.4,41.69,41.56,41.43,40.97,41.93,42.68,43.38,44.2,45.18,
Mali,"Sanitation Services, Access, percent of population",halving,Sanitation,0.33,SM,43.0,41.41,41.79,41.84,41.97,41.92,43.04,43.78,44.41,45.25,46.28,
Mali,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,1.75,ALB,49.14,52.13,55.77,58.11,60.54,62.71,63.75,64.4,64.95,65.7,66.65,
Mali,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,2.1,SM,49.22,53.14,57.68,61.62,65.19,67.08,67.8,68.36,68.89,69.5,70.22,
Mali,"Sanitation Services, Access, percent of population",six-fold,Sanitation,1.79,ALB,51.84,54.73,57.93,60.77,63.6,66.05,67.07,67.66,68.15,68.85,69.76,
Mali,"Sanitation Services, Access, percent of population",six-fold,Sanitation,2.03,SM,52.13,57.82,63.27,65.77,67.62,69.25,69.95,70.54,71.09,71.71,72.42,
Mali,"Water Services, Access, percent of population",Base,Water,0.4,Base,80.8,80.65,81.33,81.9,82.51,83.01,83.47,83.79,84.06,84.4,84.81,
Mali,"Water Services, Access, percent of population",Full water access in 2030,Water,1.74,ALB,82.63,84.55,86.48,88.31,90.11,91.86,93.56,95.22,96.86,98.46,100.0,2030
Mali,"Water Services, Access, percent of population",Full water access in 2030,Water,1.73,SM,82.73,84.35,86.41,88.39,90.3,92.1,93.82,95.44,97.0,98.53,100.0,2030
Mali,"Water Services, Access, percent of population",Full water access in 2050,Water,0.76,ALB,81.42,82.33,83.23,84.01,84.8,85.53,86.26,86.97,87.67,88.35,89.02,2050
Mali,"Water Services, Access, percent of population",Full water access in 2050,Water,0.84,SM,81.62,82.12,83.19,84.19,85.21,86.14,87.01,87.76,88.5,89.24,89.98,2050
Mali,"Water Services, Access, percent of population",doubling,Water,0.73,ALB,82.29,83.19,84.79,86.09,87.28,88.29,88.62,88.84,89.03,89.26,89.54,
Mali,"Water Services, Access, percent of population",doubling,Water,0.64,SM,81.83,82.28,83.49,84.62,85.74,86.72,87.16,87.41,87.63,87.91,88.25,
Mali,"Water Services, Access, percent of population",halving,Water,0.01,ALB,80.23,79.11,78.89,78.59,78.32,77.92,78.63,79.03,79.38,79.8,80.32,
Mali,"Water Services, Access, percent of population",halving,Water,0.16,SM,80.45,79.76,79.95,80.01,80.07,80.04,80.56,80.91,81.21,81.58,82.02,
Mali,"Water Services, Access, percent of population",quadrupling,Water,0.57,ALB,84.45,86.63,88.0,88.33,88.69,89.01,89.31,89.5,89.66,89.87,90.12,
Mali,"Water Services, Access, percent of population",quadrupling,Water,0.77,SM,83.31,84.8,86.48,87.89,89.17,89.99,90.28,90.46,90.61,90.8,91.03,
Mali,"Water Services, Access, percent of population",six-fold,Water,0.4,ALB,86.13,87.56,87.98,88.33,88.7,89.01,89.31,89.49,89.66,89.87,90.12,
Mali,"Water Services, Access, percent of population",six-fold,Water,0.65,SM,84.57,86.42,88.37,89.39,89.76,90.05,90.31,90.49,90.64,90.83,91.04,
Mozambique,"Sanitation Services, Access, percent of population",Base,Sanitation,-0.03,Base,35.26,35.27,35.54,35.58,35.23,34.36,33.85,33.98,34.19,34.44,34.98,
Mozambique,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,5.86,ALB,41.44,47.48,53.48,59.43,65.34,71.23,77.05,82.85,88.61,94.32,100.0,2030
Mozambique,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,5.87,SM,41.26,47.22,53.22,59.13,64.94,70.7,76.53,82.4,88.27,94.14,100.0,2030
Mozambique,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.22,ALB,37.66,39.95,42.23,44.45,46.65,48.94,51.12,53.23,55.44,57.68,59.84,2050
Mozambique,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.1,SM,37.47,39.66,41.9,44.06,46.09,48.01,50.03,52.09,54.21,56.32,58.46,2050
Mozambique,"Sanitation Services, Access, percent of population",doubling,Sanitation,0.51,ALB,35.26,65.68,35.52,65.83,35.23,43.27,33.84,64.95,34.21,65.17,40.4,
Mozambique,"Sanitation Services, Access, percent of population",doubling,Sanitation,0.83,SM,37.37,39.33,41.41,43.2,44.35,44.75,44.08,44.32,44.61,44.94,45.65,
Mozambique,"Sanitation Services, Access, percent of population",halving,Sanitation,-0.38,ALB,34.71,34.13,33.74,33.14,32.04,30.32,29.76,29.92,30.14,30.38,30.95,
Mozambique,"Sanitation Services, Access, percent of population",halving,Sanitation,-0.62,SM,34.16,33.04,32.18,30.97,29.41,27.51,27.14,27.2,27.34,27.52,27.92,
Mozambique,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,0.58,ALB,38.04,40.18,42.14,42.97,42.96,42.49,42.07,42.33,42.71,43.15,43.86,
Mozambique,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,1.79,SM,41.18,46.07,50.46,54.04,56.57,58.02,57.37,57.56,57.9,58.27,59.06,
Mozambique,"Sanitation Services, Access, percent of population",six-fold,Sanitation,0.53,ALB,39.49,42.29,43.19,43.83,43.95,43.53,43.03,43.29,43.65,44.08,44.8,
Mozambique,"Sanitation Services, Access, percent of population",six-fold,Sanitation,1.94,SM,44.57,51.46,57.08,61.4,63.84,64.05,63.72,63.64,63.71,63.8,63.99,
